amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	signature-confirmation-recommended 
112-6943172-7536262	112-6943172-7536262	2024-12-16T00:16:54+00:00	2024-12-17T03:25:58+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG 6x9 Area Rug for Living Room - Large Oriental Washable Rugs for Bedroom Non-Slip Pink Stain Resistant Dining Room Rug Farmhouse Low-Pile Carpet	G24267-4-Pink-6x9-US-V1	B0DBVPKNL7	Shipped	1	USD	109.99	6.65					40.0		BELL	CA	90201-6515	US	PLM-7bc03c68-8258-4a53-b1c2-1834890f6ac8	false			false
114-9381348-4749003	114-9381348-4749003	2024-12-15T23:39:13+00:00	2024-12-27T15:13:45+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Cream Vintage Oriental Farmhouse Dining Room Rugs for	G24267-2-Beige-5x7-US-V1	B0DBVNXDMY	Shipped	1	USD	59.99	3.36					12.0		OMAHA	NE	68164-6193	US	PLM-c808f434-d5a8-4f3c-8a4c-3d149bbd8b71	false			false
113-6699817-2090631	113-6699817-2090631	2024-12-15T23:24:09+00:00	2024-12-17T17:28:52+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Pink Modern Abstract Rainbow Dining Room Rugs Indoor C	N1338-2-Pink-5x7-US-V1	B0DBZ526W9	Shipped	1	USD	69.99	3.15					17.5		SHELBYVILLE	KY	40065-8856	US	PLM-523ee8f7-e964-4fd2-83c0-b42cbe0f8a10	false			false
113-0107374-1996229	113-0107374-1996229	2024-12-15T23:16:40+00:00	2024-12-16T17:32:14+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG Washable Area Rug 8x10 - Large Sage Green Boho Rugs for Living Room Soft Vintage Bedroom Rug Ultra-Thin Distressed Oriental Carpet Stain Resist	G24267-5-Green-8x10-US-V1	B0DBVM69Y6	Shipped	1	USD	149.99	10.45					40.0		SANTA CLARITA	CA	91354-1663	US	PLM-7bc03c68-8258-4a53-b1c2-1834890f6ac8	false			false
111-1521925-5885840	111-1521925-5885840	2024-12-15T22:37:33+00:00	2024-12-17T04:00:16+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Charcoal Black Vintage Traditional Floral Kitchen Rugs Low Pile Boho Carpet Throw Rugs for	G24268-7-Black-3x5-US-V1	B0DBYP9F11	Shipped	1	USD	38.99						9.75		POOLESVILLE	MD	20837-2407	US	PLM-523ee8f7-e964-4fd2-83c0-b42cbe0f8a10	false			false
111-8300134-6089006	111-8300134-6089006	2024-12-15T22:08:56+00:00	2024-12-18T04:35:41+00:00	Shipped	Amazon	Amazon.com			NextDay	LUXRUG 6x9 Area Rug for Living Room - Large Oriental Washable Rugs for Bedroom Non-Slip Cream Stain Resistant Dining Room Rug Farmhouse Low-Pile Carpe	G24267-2-Beige-6x9-US-V1	B0DBVM7S5P	Shipped	1	USD	109.99	6.96					40.0		PINEVILLE	LA	71360-5492	US	PLM-7bc03c68-8258-4a53-b1c2-1834890f6ac8	false			false
114-6408152-9412242	114-6408152-9412242	2024-12-15T22:07:25+00:00	2024-12-22T03:38:23+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG Area Rugs 9x12 Living Room - Large Washable Charcoal Grey Boho Rugs for Bedroom Soft Abstract Rug Ultra-Thin Modern Geometric Carpet Stain Resi	G24136-13-Grey-9x12-US-V1	B0DBYZRL7Z	Shipped	1	USD	189.99	11.55					50.0		LOTT	TX	76656-3966	US	PLM-7b6f401d-8dbe-48d9-9206-05ad62a9dba8	false			false
113-6168545-9187445	113-6168545-9187445	2024-12-15T21:59:23+00:00	2024-12-16T21:54:56+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG 6x9 Area Rug for Living Room - Large Oriental Washable Rugs for Bedroom Non-Slip Sage Green Stain Resistant Dining Room Rug Farmhouse Low-Pile	G24267-5-Green-6x9-US-V1	B0DBVJDNXF	Shipped	1	USD	119.99	4.4					40.0		WALWORTH	WI	53184-5731	US	PLM-7bc03c68-8258-4a53-b1c2-1834890f6ac8	false			false
114-5242830-6810618	114-5242830-6810618	2024-12-15T21:23:31+00:00	2024-12-16T15:25:39+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG 6x9 Area Rug for Living Room - Large Oriental Washable Rugs for Bedroom Non-Slip Pink Stain Resistant Dining Room Rug Farmhouse Low-Pile Carpet	G24267-4-Pink-6x9-US-V1	B0DBVPKNL7	Shipped	1	USD	109.99	4.62					40.0		ALHAMBRA	IL	62001-2316	US	PLM-7bc03c68-8258-4a53-b1c2-1834890f6ac8	false			false
111-2489675-0593011	111-2489675-0593011	2024-12-15T20:58:19+00:00	2024-12-18T10:49:38+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Charcoal Black Vintage Traditional Floral Kitchen Rugs Low Pile Boho Carpet Throw Rugs for	G24268-7-Black-3x5-US-V1	B0DBYP9F11	Shipped	1	USD	38.99	2.34							SOUTH LYON	MI	48178-1878	US		false			false
112-3588709-8469820	112-3588709-8469820	2024-12-15T20:33:10+00:00	2024-12-17T13:43:59+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Orange Modern Abstract Rainbow Dining Room Rugs Indoor	N1338-1-Orange-5x7-US-V1	B0DBYYVZMX	Shipped	1	USD	69.99	3.28					17.5		WATERTOWN	MA	02472-3014	US	PLM-523ee8f7-e964-4fd2-83c0-b42cbe0f8a10	false			false
112-2476004-5053851	112-2476004-5053851	2024-12-15T20:31:51+00:00	2024-12-17T00:18:32+00:00	Shipped	Amazon	Amazon.com			Standard	LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Sage Green Vintage Oriental Farmhouse Dining Room Rugs	G24267-5-Green-5x7-US-V1	B0DBVNT5V3	Shipped	1	USD	65.99								APO	AE	09459-0032	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	false			false
113-6900803-5581030	113-6900803-5581030	2024-12-15T20:11:11+00:00	2024-12-16T19:39:54+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG Washable Area Rug 8x10 - Large Cream Boho Rugs for Living Room Soft Vintage Bedroom Rug Ultra-Thin Distressed Oriental Carpet Stain Resistant R	G24267-2-Beige-8x10-US-V1	B0DBVKBXCB	Shipped	1	USD	149.99						40.0		Beaverton	OR	97008	US	PLM-7bc03c68-8258-4a53-b1c2-1834890f6ac8	false			false
